method,test_index,original_score,target_threshold,status,cf_score,reason,message,cf_array_file,meta_donor_idx,meta_alpha,meta_donor_distance,meta_score_before,meta_score_after,meta_strict_donor_threshold,meta_shortlist_size,meta_n_attempts,meta_constraint_violation,meta_constraint_breakdown,meta_runtime_ms,meta_changed_features,meta_changed_timesteps,meta_top_changed_features,meta_top_changed_timesteps,meta_edit_mask,meta_delta_l1,meta_delta_l2,meta_segment_start,meta_segment_end,meta_context_start,meta_context_end,meta_segment_distance,meta_smoothing_used,meta_n_segments_considered,meta_n_candidates_evaluated,meta_motif_length,meta_chosen_motif_source,meta_shape_distance,meta_boundary_penalty,meta_motif_rank_score,meta_affine_a,meta_affine_b,meta_pareto_size,meta_best_objectives,meta_best_objective_names,meta_top_solutions,meta_generations,meta_population_size,meta_warning,meta_threshold,meta_valid,meta_mutation_sigma,meta_structured_mutation_weight,meta_use_plausibility_objective,meta_history_best_validity,meta_history_best_proximity,meta_random_seed
segment,5696,9.164030075073242,2.240555763244629,failed,,no_valid_cf,Segment substitution candidate did not satisfy threshold.,N/A,,,,,,,,,,,,,,,,,,,9.164029195050842,4.796610814432583,2.240555763244629,True,2.0,16.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",37.85782307386398,,,,,,,,,,,,,,,,
motif,5696,9.164030075073242,2.240555763244629,failed,,no_valid_cf,Motif search did not produce a valid counterfactual.,N/A,,,,,,,,,,,,,,,,,,,9.164029195050842,4.88293952208812,2.240555763244629,,6.0,30.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",703.1522579491138,"[4, 5, 6]",,,,,,,,,,,,,,,
genetic,5696,9.164030075073242,2.240555763244629,success,1.9731379469490449,N/A,N/A,cf_genetic_window_5696.npy,,,,,,,,,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0, 'validity': 0.0}",7215.645227581263,"[2, 5, 1, 3, 4, 0]","[17, 9, 2, 7, 11, 12, 10, 14, 4, 1, 15, 16, 13, 5, 3, 6, 20, 8, 18, 0, 19, 23, 21, 22]","[{'feature': 2, 'abs_delta_sum': 74.9267354911224}, {'feature': 5, 'abs_delta_sum': 13.997514029005997}, {'feature': 1, 'abs_delta_sum': 10.696504342404154}]","[{'timestep': 17, 'abs_delta_sum': 17.106666890831004}, {'timestep': 9, 'abs_delta_sum': 12.316468139928729}, {'timestep': 2, 'abs_delta_sum': 10.704138571698703}]","[[ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",129.6381045400613,24.630531685835177,,,,,,,,,,,50.0,"[1.9731379469490449, 606.6630911269306, 1.0, 9.69188019075336]","['validity', 'proximity', 'sparsity', 'plausibility']","[{'score_cf': 1.9731379469490449, 'proximity': 606.6630911269306, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.9578556707367685, 'proximity': 609.8716433746947, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.9246549836948932, 'proximity': 611.1999769180625, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.9023470288329936, 'proximity': 620.7662287416349, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.7106709524274217, 'proximity': 654.2510444991653, 'sparsity': 1.0, 'violation': 0.0}]",20.0,50.0,None,2.240555763244629,True,0.05,0.35,True,"[1.0219968409319318, 1.0117957623981109, 0.9557860333335985, 0.6827291040122407, 0.6795202344975739, 0.675846350283468, 0.675846350283468, 0.6187240064232674, 0.58189527540818, 0.58189527540818, 0.5760598313431221, 0.5734611832974041, 0.5734611832974041, 0.5734611832974041, 0.5734611832974041, 0.5703919219334238, 0.5703919219334238, 0.5703919219334238, 0.5703919219334238, 0.5703919219334238]","[1319.620204087321, 1602.7945330087737, 1430.1044258984186, 1138.9925492345105, 1114.8502276284412, 1122.155903408333, 1122.155903408333, 1336.225635279522, 1443.7717613425998, 1443.7717613425998, 1407.7189444783687, 1408.7203189333704, 1408.7203189333704, 1408.7203189333704, 1408.7203189333704, 1395.494632454247, 1395.494632454247, 1395.494632454247, 1395.494632454247, 1395.494632454247]",42.0
nearest,5697,9.88674259185791,2.240555763244629,success,0.9013797665604083,N/A,N/A,cf_nearest_window_5697.npy,82.0,1.0,2.3468400478288265,9.886742707888628,0.9013797665604083,2.240555763244629,10.0,50.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",229.99152913689613,"[2, 4, 0, 5, 1, 3]","[8, 7, 16, 9, 5, 1, 4, 6, 0, 2, 15, 14, 3, 10, 19, 17, 12, 11, 20, 23, 18, 13, 22, 21]","[{'feature': 2, 'abs_delta_sum': 158.29575851801644}, {'feature': 4, 'abs_delta_sum': 25.27118270224046}, {'feature': 0, 'abs_delta_sum': 24.63377960719967}]","[{'timestep': 8, 'abs_delta_sum': 27.556849592629234}, {'timestep': 7, 'abs_delta_sum': 26.661158563974023}, {'timestep': 16, 'abs_delta_sum': 25.975850973339217}]","[[ True False  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True False]
 [ True  True False  True False  True]
 [ True  True False  True  True  True]]",258.70943070820863,51.634923979507626,,,,,,,,,,,,,,,,,,,,,,,,,
segment,5697,9.88674259185791,2.240555763244629,failed,,no_valid_cf,Segment substitution candidate did not satisfy threshold.,N/A,,,,,,,,,,,,,,,,,,,9.886742707888628,5.1878899229726505,2.240555763244629,True,2.0,16.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",37.05238178372383,,,,,,,,,,,,,,,,
motif,5697,9.88674259185791,2.240555763244629,failed,,no_valid_cf,Motif search did not produce a valid counterfactual.,N/A,,,,,,,,,,,,,,,,,,,9.886742707888628,4.9015052315568575,2.240555763244629,,6.0,30.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",705.880593508482,"[4, 5, 6]",,,,,,,,,,,,,,,
genetic,5697,9.88674259185791,2.240555763244629,success,2.178004530576328,N/A,N/A,cf_genetic_window_5697.npy,,,,,,,,,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0, 'validity': 0.0}",7189.145743846893,"[2, 1, 4, 5, 3, 0]","[16, 1, 8, 4, 0, 10, 9, 19, 6, 2, 11, 17, 13, 14, 18, 15, 3, 5, 12, 7, 21, 22, 20, 23]","[{'feature': 2, 'abs_delta_sum': 61.0116168715266}, {'feature': 1, 'abs_delta_sum': 13.464655735013618}, {'feature': 4, 'abs_delta_sum': 11.29204014823537}]","[{'timestep': 16, 'abs_delta_sum': 18.250763067790448}, {'timestep': 1, 'abs_delta_sum': 13.855424872485173}, {'timestep': 8, 'abs_delta_sum': 9.156728798134104}]","[[ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",110.75795439569542,21.810617363350154,,,,,,,,,,,50.0,"[2.178004530576328, 475.7030297704713, 1.0, 7.437236811968567]","['validity', 'proximity', 'sparsity', 'plausibility']","[{'score_cf': 2.178004530576328, 'proximity': 475.7030297704713, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 2.186412918857139, 'proximity': 503.56180353923935, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 2.070549519244071, 'proximity': 509.00179850248537, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 2.133967506919842, 'proximity': 525.4862361061058, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 2.0917344760280145, 'proximity': 533.3978646117582, 'sparsity': 1.0, 'violation': 0.0}]",20.0,50.0,None,2.240555763244629,True,0.05,0.35,True,"[0.9831022770551242, 0.9831022770551242, 0.9597669060393788, 0.7764311537369197, 0.7764311537369197, 0.7764311537369197, 0.7740124835647563, 0.7568674199744821, 0.681775738793231, 0.681775738793231, 0.681775738793231, 0.6792148369821, 0.6750110971268231, 0.6692664394303532, 0.6692664394303532, 0.6692664394303532, 0.6692664394303532, 0.6692664394303532, 0.6692664394303532, 0.6500799281844004]","[1423.6909499359624, 1423.6909499359624, 1162.6302277186742, 1403.3722219784581, 1403.3722219784581, 1403.3722219784581, 1410.3653975832847, 1233.363687179138, 1264.8353938837818, 1264.8353938837818, 1264.8353938837818, 1265.9596156928949, 1272.6633067927419, 1274.0597824844374, 1274.0597824844374, 1274.0597824844374, 1274.0597824844374, 1274.0597824844374, 1274.0597824844374, 1241.82061923137]",42.0
nearest,5698,9.52364444732666,2.240555763244629,success,0.8840894015832267,N/A,N/A,cf_nearest_window_5698.npy,88.0,1.0,2.583490789267626,9.523644147558246,0.8840894015832267,2.240555763244629,10.0,50.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",229.89105060696602,"[2, 3, 4, 5, 1, 0]","[7, 6, 15, 8, 4, 5, 3, 13, 0, 11, 10, 14, 18, 9, 12, 17, 16, 19, 1, 20, 2, 21, 22, 23]","[{'feature': 2, 'abs_delta_sum': 155.9331352565535}, {'feature': 3, 'abs_delta_sum': 28.43340374478093}, {'feature': 4, 'abs_delta_sum': 23.16036465750576}]","[{'timestep': 7, 'abs_delta_sum': 35.96627184011973}, {'timestep': 6, 'abs_delta_sum': 25.98914757818461}, {'timestep': 15, 'abs_delta_sum': 25.26227177775455}]","[[ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]]",266.61233711771877,54.22421431254089,,,,,,,,,,,,,,,,,,,,,,,,,
segment,5698,9.52364444732666,2.240555763244629,failed,,no_valid_cf,Segment substitution candidate did not satisfy threshold.,N/A,,,,,,,,,,,,,,,,,,,9.523644147558246,5.096502801496707,2.240555763244629,True,2.0,16.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",37.87270188331604,,,,,,,,,,,,,,,,
motif,5698,9.52364444732666,2.240555763244629,failed,,no_valid_cf,Motif search did not produce a valid counterfactual.,N/A,,,,,,,,,,,,,,,,,,,9.523644147558246,4.338725735028998,2.240555763244629,,6.0,30.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",703.9773315191269,"[4, 5, 6]",,,,,,,,,,,,,,,
genetic,5698,9.52364444732666,2.240555763244629,success,1.8815229647500533,N/A,N/A,cf_genetic_window_5698.npy,,,,,,,,,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0, 'validity': 0.0}",7211.850881576538,"[2, 5, 4, 1, 3, 0]","[7, 15, 8, 0, 9, 5, 10, 6, 12, 13, 14, 11, 2, 3, 4, 1, 18, 20, 16, 21, 19, 17, 22, 23]","[{'feature': 2, 'abs_delta_sum': 69.60144818389205}, {'feature': 5, 'abs_delta_sum': 10.431676688081629}, {'feature': 4, 'abs_delta_sum': 9.448861626818456}]","[{'timestep': 7, 'abs_delta_sum': 17.640896745328458}, {'timestep': 15, 'abs_delta_sum': 14.645291110418716}, {'timestep': 8, 'abs_delta_sum': 9.937790395414696}]","[[ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",115.14476420289327,24.911491720576464,,,,,,,,,,,50.0,"[1.8815229647500533, 620.5824197443496, 1.0, 4.939928246339914]","['validity', 'proximity', 'sparsity', 'plausibility']","[{'score_cf': 1.8815229647500533, 'proximity': 620.5824197443496, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.766158490923334, 'proximity': 631.0332033511597, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.73886552990366, 'proximity': 643.3646624279138, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.7382145025571856, 'proximity': 648.3864582190281, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.722539092343166, 'proximity': 651.7113913134284, 'sparsity': 1.0, 'violation': 0.0}]",20.0,50.0,None,2.240555763244629,True,0.05,0.35,True,"[0.9758416298210428, 0.9758416298210428, 0.9349043248916807, 0.9349043248916807, 0.8677293353570512, 0.8511812497031938, 0.8511812497031938, 0.8511812497031938, 0.8511812497031938, 0.8511812497031938, 0.8511812497031938, 0.8511812497031938, 0.8365936405930529, 0.8365936405930529, 0.8365936405930529, 0.7990406707092363, 0.7847752946941355, 0.7847752946941355, 0.7847752946941355, 0.7847752946941355]","[1371.4047572483873, 1371.4047572483873, 1202.7253453549533, 1202.7253453549533, 1314.1766876648676, 1278.1305546955296, 1278.1305546955296, 1278.1305546955296, 1278.1305546955296, 1278.1305546955296, 1278.1305546955296, 1278.1305546955296, 1251.9105793423346, 1251.9105793423346, 1251.9105793423346, 1211.4550491474624, 1207.195683640773, 1207.195683640773, 1207.195683640773, 1207.195683640773]",42.0
nearest,5699,8.100354194641113,2.240555763244629,success,0.9013797665604083,N/A,N/A,cf_nearest_window_5699.npy,82.0,1.0,2.454505967634842,8.100353648919004,0.9013797665604083,2.240555763244629,10.0,50.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",235.6232963502407,"[2, 4, 0, 5, 1, 3]","[6, 5, 14, 7, 3, 2, 8, 4, 0, 10, 1, 17, 13, 9, 18, 15, 21, 12, 23, 19, 22, 16, 20, 11]","[{'feature': 2, 'abs_delta_sum': 165.38362830240524}, {'feature': 4, 'abs_delta_sum': 21.489300372090785}, {'feature': 0, 'abs_delta_sum': 21.31643062009678}]","[{'timestep': 6, 'abs_delta_sum': 36.81341024556616}, {'timestep': 5, 'abs_delta_sum': 25.57317198164427}, {'timestep': 14, 'abs_delta_sum': 24.588664340339342}]","[[ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True False  True False  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False False  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True False False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]]",243.08387459015188,57.00163024502158,,,,,,,,,,,,,,,,,,,,,,,,,
segment,5699,8.100354194641113,2.240555763244629,failed,,no_valid_cf,Segment substitution candidate did not satisfy threshold.,N/A,,,,,,,,,,,,,,,,,,,8.100353648919004,3.1144408010190254,2.240555763244629,True,2.0,16.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",38.891393691301346,,,,,,,,,,,,,,,,
motif,5699,8.100354194641113,2.240555763244629,failed,,no_valid_cf,Motif search did not produce a valid counterfactual.,N/A,,,,,,,,,,,,,,,,,,,8.100353648919004,3.181521870767235,2.240555763244629,,6.0,30.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",707.1975618600845,"[4, 5, 6]",,,,,,,,,,,,,,,
genetic,5699,8.100354194641113,2.240555763244629,success,1.7594026655710415,N/A,N/A,cf_genetic_window_5699.npy,,,,,,,,,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0, 'validity': 0.0}",7444.40359249711,"[2, 5, 1, 4, 3, 0]","[14, 6, 8, 4, 7, 9, 2, 12, 11, 13, 10, 17, 3, 1, 5, 0, 19, 15, 18, 16, 20, 22, 21, 23]","[{'feature': 2, 'abs_delta_sum': 57.6078691095721}, {'feature': 5, 'abs_delta_sum': 10.780626471063965}, {'feature': 1, 'abs_delta_sum': 8.76429249928641}]","[{'timestep': 14, 'abs_delta_sum': 14.493235266059104}, {'timestep': 6, 'abs_delta_sum': 11.827950799348933}, {'timestep': 8, 'abs_delta_sum': 7.240739865993879}]","[[ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",98.21598105272224,20.489726938388472,,,,,,,,,,,50.0,"[1.7594026655710415, 419.8289100097222, 1.0, 6.84572280079363]","['validity', 'proximity', 'sparsity', 'plausibility']","[{'score_cf': 1.7594026655710415, 'proximity': 419.8289100097222, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.7083385089614307, 'proximity': 437.17094602783686, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.6276526679548988, 'proximity': 462.2891890784062, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.6279419094376062, 'proximity': 476.72955106713243, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.6551482267910143, 'proximity': 481.84808695103993, 'sparsity': 1.0, 'violation': 0.0}]",20.0,50.0,None,2.240555763244629,True,0.05,0.35,True,"[0.9411418219889427, 0.9411418219889427, 0.92300659227985, 0.8826301958469935, 0.682836449194899, 0.682836449194899, 0.6801731717876723, 0.6154860311158502, 0.5371976353298228, 0.5371976353298228, 0.5371976353298228, 0.5371976353298228, 0.5371976353298228, 0.4325463415982, 0.42894143041012595, 0.42894143041012595, 0.42894143041012595, 0.42894143041012595, 0.42894143041012595, 0.42629615041716723]","[1166.4509254443365, 1166.4509254443365, 1162.0701086997105, 1078.0946017351641, 1124.3602024269214, 1124.3602024269214, 2072.1563494978263, 1674.0643391603421, 1258.0987249984903, 1258.0987249984903, 1258.0987249984903, 1258.0987249984903, 1258.0987249984903, 1351.316457557758, 1186.322606968734, 1186.322606968734, 1186.322606968734, 1186.322606968734, 1186.322606968734, 1177.4712956507524]",42.0
nearest,5700,8.729554176330566,2.240555763244629,success,0.9013797665604083,N/A,N/A,cf_nearest_window_5700.npy,82.0,1.0,2.3833258835229616,8.729552778959386,0.9013797665604083,2.240555763244629,10.0,50.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",234.0206913650036,"[2, 4, 0, 5, 1, 3]","[5, 4, 13, 6, 2, 1, 3, 8, 0, 11, 16, 9, 17, 18, 7, 14, 23, 12, 21, 22, 20, 15, 19, 10]","[{'feature': 2, 'abs_delta_sum': 158.29575851801644}, {'feature': 4, 'abs_delta_sum': 22.339490973442263}, {'feature': 0, 'abs_delta_sum': 20.98798022533412}]","[{'timestep': 5, 'abs_delta_sum': 37.930299937838036}, {'timestep': 4, 'abs_delta_sum': 25.325511819878628}, {'timestep': 13, 'abs_delta_sum': 23.831160775519567}]","[[ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True False  True]
 [ True  True False  True  True  True]]",235.679102568824,56.67529065946296,,,,,,,,,,,,,,,,,,,,,,,,,
segment,5700,8.729554176330566,2.240555763244629,failed,,no_valid_cf,Segment substitution candidate did not satisfy threshold.,N/A,,,,,,,,,,,,,,,,,,,8.729552778959386,3.894333359747899,2.240555763244629,True,2.0,16.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",38.57998549938202,,,,,,,,,,,,,,,,
motif,5700,8.729554176330566,2.240555763244629,failed,,no_valid_cf,Motif search did not produce a valid counterfactual.,N/A,,,,,,,,,,,,,,,,,,,8.729552778959386,3.2393436814000776,2.240555763244629,,6.0,30.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",707.477543503046,"[4, 5, 6]",,,,,,,,,,,,,,,
genetic,5700,8.729554176330566,2.240555763244629,success,2.028554830303138,N/A,N/A,cf_genetic_window_5700.npy,,,,,,,,,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0, 'validity': 0.0}",7344.217408448458,"[2, 1, 5, 0, 4, 3]","[2, 13, 1, 5, 3, 7, 8, 6, 10, 11, 9, 12, 0, 16, 19, 18, 20, 17, 21, 22, 23, 4, 15, 14]","[{'feature': 2, 'abs_delta_sum': 59.3142487939658}, {'feature': 1, 'abs_delta_sum': 9.136191782039322}, {'feature': 5, 'abs_delta_sum': 8.963861975593705}]","[{'timestep': 2, 'abs_delta_sum': 11.746793922809886}, {'timestep': 13, 'abs_delta_sum': 11.124147434882621}, {'timestep': 1, 'abs_delta_sum': 9.687696106225026}]","[[ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",96.44639111848537,20.434335934643986,,,,,,,,,,,50.0,"[2.028554830303138, 417.5620850898825, 1.0, 5.287187889195581]","['validity', 'proximity', 'sparsity', 'plausibility']","[{'score_cf': 2.028554830303138, 'proximity': 417.5620850898825, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 2.0130987652725243, 'proximity': 417.8569040519144, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 2.005685175998359, 'proximity': 427.1989209144397, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.9730789414383647, 'proximity': 434.0115700296445, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.8425003894858376, 'proximity': 486.62706196388694, 'sparsity': 1.0, 'violation': 0.0}]",20.0,50.0,None,2.240555763244629,True,0.05,0.35,True,"[1.2816166525677268, 1.2062563597812135, 1.158945739597108, 0.8343405668186229, 0.8250314562705778, 0.7360422959303005, 0.7360422959303005, 0.6621057859223379, 0.6621057859223379, 0.6621057859223379, 0.6621057859223379, 0.6052685493205524, 0.6052685493205524, 0.6052685493205524, 0.6052685493205524, 0.6052685493205524, 0.6052685493205524, 0.6052685493205524, 0.6052685493205524, 0.6052685493205524]","[909.2821439000469, 1132.9901592214899, 962.0148141796408, 1969.9822720490113, 1923.9995387146835, 1672.6704674075118, 1672.6704674075118, 942.3417887366986, 942.3417887366986, 942.3417887366986, 942.3417887366986, 966.6679907890723, 966.6679907890723, 966.6679907890723, 966.6679907890723, 966.6679907890723, 966.6679907890723, 966.6679907890723, 966.6679907890723, 966.6679907890723]",42.0
